Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales
1,CA-2017-152156,2017-11-08,2017-11-11,"second class,",CG-12520,Claire Gute,consumer,united states,henderson,kentucky,42420,south,FUR-BO-10001798,furniture,bookcases,bush somerset collection bookcase,261.96
3,CA-2017-138688,2017-06-12,2017-06-16,second class,DV-13045,Darrin Van Huff,corporate,united states,los angeles,california,90036,west,OFF-LA-10000240,office supplies,labels,self-adhesive address labels for typewriters by universal,14.62
5,US-2016-108966,2016-10-11,2016-10-18,standard class,SO-20335,Sean O'Donnell,consumer,united states,fort lauderdale,florida,33311,south,OFF-ST-10000760,office supplies,storage,eldon fold 'n roll cart system,22.368
6,CA-2015-115812,2015-06-09,2015-06-14,standard class,BH-11710,Brosina Hoffman,consumer,united states,los angeles,california,90032,west,FUR-FU-10001487,furniture,furnishings,"eldon expressions wood and plastic desk accessories, cherry wood",48.86
7,CA-2015-115812,2015-06-09,2015-06-14,standard class,BH-11710,Brosina Hoffman,consumer,united states,los angeles,california,90032,west,OFF-AR-10002833,office supplies,art,newell 322,7.28
9,CA-2015-115812,2015-06-09,2015-06-14,standard class,BH-11710,Brosina Hoffman,consumer,united states,los angeles,california,90032,west,OFF-BI-10003910,office supplies,binders,dxl angle-view binders with locking rings by samsill,18.504
10,CA-2015-115812,2015-06-09,2015-06-14,standard class,BH-11710,Brosina Hoffman,consumer,united states,los angeles,california,90032,west,OFF-AP-10002892,office supplies,appliances,belkin f5c206vtel 6 outlet surge,114.9
13,CA-2018-114412,2018-04-15,2018-04-20,standard class,AA-10480,Andrew Allen,consumer,united states,concord,north carolina,28027,south,OFF-PA-10002365,office supplies,paper,xerox 1967,15.552
14,CA-2017-161389,2017-12-05,2017-12-10,standard class,IM-15070,Irene Maddox,consumer,united states,seattle,washington,98103,west,OFF-BI-10003656,office supplies,binders,fellowes pb200 plastic comb binding machine,407.976
15,US-2016-118983,2016-11-22,2016-11-26,standard class,HP-14815,Harold Pawlan,home office,united states,fort worth,texas,76106,central,OFF-AP-10002311,office supplies,appliances,"holmes replacement filter for hepa air cleaner, very large room, hepa filter",68.81
16,US-2016-118983,2016-11-22,2016-11-26,standard class,HP-14815,Harold Pawlan,home office,united states,fort worth,texas,76106,central,OFF-BI-10000756,office supplies,binders,storex duratech recycled plastic frosted binders,2.544
18,CA-2015-167164,2015-05-13,2015-05-15,second class,AG-10270,Alejandro Grove,consumer,united states,west jordan,utah,84084,west,OFF-ST-10000107,office supplies,storage,fellowes super stor/drawer,55.5
19,CA-2015-143336,2015-08-27,2015-09-01,second class,ZD-21925,Zuschuss Donatelli,consumer,united states,san francisco,california,94109,west,OFF-AR-10003056,office supplies,art,newell 341,8.56
20,CA-2015-143336,2015-08-27,2015-09-01,second class,ZD-21925,Zuschuss Donatelli,consumer,united states,san francisco,california,94109,west,TEC-PH-10001949,technology,phones,cisco spa 501g ip phone,213.48
21,CA-2015-143336,2015-08-27,2015-09-01,second class,ZD-21925,Zuschuss Donatelli,consumer,united states,san francisco,california,94109,west,OFF-BI-10002215,office supplies,binders,"wilson jones hanging view binder, white, 1""",22.72
22,CA-2017-137330,2017-12-09,2017-12-13,standard class,KB-16585,Ken Black,corporate,united states,fremont,nebraska,68025,central,OFF-AR-10000246,office supplies,art,newell 318,19.46
23,CA-2017-137330,2017-12-09,2017-12-13,standard class,KB-16585,Ken Black,corporate,united states,fremont,nebraska,68025,central,OFF-AP-10001492,office supplies,appliances,"acco six-outlet power strip, 4' cord length",60.34
24,US-2018-156909,2018-07-16,2018-07-18,second class,SF-20065,Sandra Flanagan,consumer,united states,philadelphia,pennsylvania,19140,east,FUR-CH-10002774,furniture,chairs,"global deluxe stacking chair, gray",71.372
26,CA-2017-121755,2017-01-16,2017-01-20,second class,EH-13945,Eric Hoffmann,consumer,united states,los angeles,california,90049,west,OFF-BI-10001634,office supplies,binders,wilson jones active use binders,11.648
